Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGD,0.99949425,0.9741211,30,7.708464894294739
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGDM,1.0,0.97509766,23,7.67052535533905
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,Adam,0.95401436,0.94628906,1,8.923110127449036
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,SGDM,0.9648786,0.9572754,1,8.16813588142395
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,SGD,0.96379745,0.9567871,1,7.612094879150391
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,Adam,0.96972656,0.95666504,2,7.438128630320231
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,SGD,0.9764579,0.96398926,1,7.422758499781291
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,SGDM,0.9774867,0.96484375,0,7.527028799057007
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,Adam,0.99635535,0.97424316,0,7.449007511138916
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,SGD,0.9964948,0.9741211,2,7.49580995241801
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,SGDM,0.9964251,0.9741211,1,7.41774304707845
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,Adam,0.9938965,0.9753418,2,7.43842625617981
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,SGD,0.9951172,0.97424316,2,7.407337745030721
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,SGDM,0.99532646,0.9741211,1,7.417632261912028
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,Adam,0.98064315,0.96777344,2,7.485327164332072
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,SGD,0.98481095,0.97143555,2,7.45403774579366
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,SGDM,0.9870431,0.97216797,2,7.402111768722534
