,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
55,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,SGD,0.71307373,0.50842285,16,27.850662260055543,orthogonal_,mlp_2layers,9000,0.0022042411950574394
62,CIFAR,backprop,mlp,3layers,4096,0.0005,98,1708810,Adam,0.99198407,0.5085449,1,27.578565545082093,orthogonal_,mlp_3layers,9000,0.017724240927329455
63,CIFAR,backprop,mlp,3layers,4096,0.0005,98,1708810,SGDM,0.983785,0.5091553,43,27.63751181125641,orthogonal_,mlp_3layers,9000,0.0008066143231427823
64,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,Adam,0.7802531,0.4906006,16,27.735328636169434,orthogonal_,mlp_3layers,9000,0.002011627160850587
65,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,SGDM,0.8091634,0.51831055,21,27.9310098028183,orthogonal_,mlp_3layers,9000,0.0016422365178797639
66,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,SGD,0.9819336,0.51123047,12,27.742012581825257,orthogonal_,mlp_3layers,9000,0.0027412062623475403
67,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,Adam,0.9989537,0.94873047,21,8.485628933906556,kaiming_normal,kan_2layers,750,0.0034658853041510413
68,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,Adam,0.9989537,0.95202637,13,8.417125821113586,kaiming_uniform,kan_2layers,750,0.005465312014639624
69,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGDM,0.9977853,0.9486084,4,8.996963000297546,kaiming_normal,kan_2layers,750,0.015247933184857681
70,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGDM,0.9989537,0.95129395,0,8.434251933097839,kaiming_uniform,kan_2layers,750,0.07645550360274768
71,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGD,0.99890137,0.9481201,0,8.445192294120789,kaiming_normal,kan_2layers,750,0.07620042124875018
72,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGD,0.9990409,0.9510498,0,8.458216667175293,kaiming_uniform,kan_2layers,750,0.07643588126497856
82,MNIST,backprop,kan,2layers,4096,0.005,98,254080,Adam,0.9987444,0.94836426,17,8.408925395011902,kaiming_normal,kan_2layers,750,0.004234446910567744
83,MNIST,backprop,kan,2layers,4096,0.005,98,254080,Adam,0.9989537,0.95214844,0,8.438960614204406,kaiming_uniform,kan_2layers,750,0.07652417897198924
84,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGDM,0.98836845,0.9486084,38,8.491744871139526,kaiming_normal,kan_2layers,750,0.001954863228827908
85,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGDM,0.996739,0.9506836,4,8.456280980110169,kaiming_uniform,kan_2layers,750,0.015281289953515026
86,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGD,0.99720985,0.9486084,25,8.613483943939208,kaiming_normal,kan_2layers,750,0.0029322948432418615
87,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGD,0.9989537,0.951416,14,8.432742767333984,kaiming_uniform,kan_2layers,750,0.005097687517492133
91,MNIST,backprop,kan,2layers,4096,0.05,98,254080,Adam,0.9798235,0.94555664,26,8.847507214546203,kaiming_normal,kan_2layers,750,0.002814607257212059
92,MNIST,backprop,kan,2layers,4096,0.05,98,254080,Adam,0.9906006,0.9515381,14,8.456625361442565,kaiming_uniform,kan_2layers,750,0.005098341729367787
93,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGDM,0.8643799,0.86047363,49,8.321815314292907,kaiming_normal,kan_2layers,750,0.0013831254728054222
94,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGDM,0.9577462,0.9484863,49,8.455885853767395,kaiming_uniform,kan_2layers,750,0.0015245970549230723
95,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGD,0.9875663,0.9486084,10,8.373238201141357,kaiming_normal,kan_2layers,750,0.006930878720389854
96,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGD,0.9963379,0.9510498,10,8.669377732276917,kaiming_uniform,kan_2layers,750,0.006948716478634416
106,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,Adam,0.9996861,0.9519043,14,8.433596487045287,kaiming_normal,kan_3layers,750,0.004818342086723019
107,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,Adam,0.9994594,0.95532227,4,8.4800355052948,kaiming_uniform,kan_3layers,750,0.014506929425336467
108,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGDM,0.9995989,0.94958496,3,8.56566002368927,kaiming_normal,kan_3layers,750,0.018024757758029857
109,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGDM,0.9955706,0.9539795,39,8.635165448188781,kaiming_uniform,kan_3layers,750,0.0018108173694775496
110,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGD,0.99965125,0.95166016,25,8.431822247505188,kaiming_normal,kan_3layers,750,0.00277909978886062
111,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGD,0.9994594,0.9543457,0,8.665777831077575,kaiming_uniform,kan_3layers,750,0.07246049920553684
115,MNIST,backprop,kan,3layers,4096,0.005,98,525440,Adam,0.9995292,0.9527588,2,8.473908796310425,kaiming_normal,kan_3layers,750,0.02411333694225207
116,MNIST,backprop,kan,3layers,4096,0.005,98,525440,Adam,0.99949425,0.9544678,1,9.404592905044556,kaiming_uniform,kan_3layers,750,0.03623488493928903
117,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGDM,0.986363,0.9519043,22,8.476294808387756,kaiming_normal,kan_3layers,750,0.0031423970130802295
118,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGDM,0.994036,0.9543457,47,8.413232378959655,kaiming_uniform,kan_3layers,750,0.001509593733448684
119,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGD,0.9996163,0.94958496,41,8.600931196212768,kaiming_normal,kan_3layers,750,0.0017166435960028433
120,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGD,0.9946289,0.9539795,5,9.099905214309693,kaiming_uniform,kan_3layers,750,0.012072115796516998
124,MNIST,backprop,kan,3layers,4096,0.05,98,525440,Adam,0.9781843,0.9477539,46,8.418932428359986,kaiming_normal,kan_3layers,750,0.001531063922219827
125,MNIST,backprop,kan,3layers,4096,0.05,98,525440,Adam,0.9857701,0.95336914,48,8.454905638694763,kaiming_uniform,kan_3layers,750,0.001477272490686943
126,MNIST,backprop,kan,3layers,4096,0.05,98,525440,SGDM,0.97595215,0.96533203,49,8.470958938598633,kaiming_normal,kan_3layers,750,0.0014658931410891098
127,MNIST,backprop,kan,3layers,4096,0.05,98,525440,SGDM,0.9746094,0.9638672,48,8.524768972396851,kaiming_uniform,kan_3layers,750,0.0014935395320593765
128,MNIST,backprop,kan,3layers,4096,0.05,98,525440,SGD,0.9844971,0.95166016,46,8.758838725090026,kaiming_normal,kan_3layers,750,0.0015373743512845982
129,MNIST,backprop,kan,3layers,4096,0.05,98,525440,SGD,0.99326867,0.95458984,25,8.537956895828247,kaiming_uniform,kan_3layers,750,0.0027876552306156156
133,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,Adam,0.9968959,0.95043945,1,8.53823842048645,kaiming_normal,kan_4layers,750,0.03414326784536921
134,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,Adam,0.9995117,0.9555664,37,8.791174736022949,kaiming_uniform,kan_4layers,750,0.0018067077198223363
135,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGDM,0.99564034,0.9501953,0,8.63797504901886,kaiming_normal,kan_4layers,750,0.06826899416540623
136,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGDM,0.9954834,0.95458984,2,9.012848744392395,kaiming_uniform,kan_4layers,750,0.022861576708604385
137,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGD,0.9969308,0.9482422,0,8.499507641792297,kaiming_normal,kan_4layers,750,0.06812866914748154
138,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGD,0.9995292,0.9547119,3,9.728989267349244,kaiming_uniform,kan_4layers,750,0.01714837495269233
142,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,Adam,0.9948905,0.95129395,26,8.437650170326233,kaiming_normal,kan_4layers,750,0.0025314047864154776
143,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,Adam,0.9964076,0.9543457,14,8.605413484573365,kaiming_uniform,kan_4layers,750,0.00457114595459695
144,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGDM,0.9651925,0.94421387,47,8.533273491859436,kaiming_normal,kan_4layers,750,0.0014133175916117287
145,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGDM,0.9536656,0.94091797,10,8.837048988342286,kaiming_uniform,kan_4layers,750,0.0061456766169358575
146,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGD,0.99553573,0.9501953,38,8.768119101524354,kaiming_normal,kan_4layers,750,0.001750487029882211
147,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGD,0.99541366,0.95458984,2,8.625592517852784,kaiming_uniform,kan_4layers,750,0.022861576708604385
151,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,Adam,0.95647323,0.9387207,20,8.510626091957093,kaiming_normal,kan_4layers,750,0.003211646419337665
152,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,Adam,0.9574498,0.93969727,41,8.570662851333617,kaiming_uniform,kan_4layers,750,0.0016074937798095212
153,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGDM,0.9825265,0.96765137,48,8.456845922470093,kaiming_normal,kan_4layers,750,0.0014188401258501612
154,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGDM,0.97950965,0.96850586,48,8.817011651992798,kaiming_uniform,kan_4layers,750,0.0014200930406257975
155,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGD,0.9644427,0.94421387,34,8.40007809638977,kaiming_normal,kan_4layers,750,0.0019382641256389425
156,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGD,0.95241004,0.9407959,12,8.570006098747253,kaiming_uniform,kan_4layers,750,0.005199513260220383
172,MNIST,backprop,mlpWide,2layers,4096,0.005,98,255050,Adam,0.99996513,0.9838867,47,8.904191551208497,kaiming_normal,mlpWide_2layers,750,0.0016468896454278755
173,MNIST,backprop,mlpWide,2layers,4096,0.005,98,255050,Adam,0.9754464,0.96520996,49,9.490691981315614,kaiming_normal,mlpWide_2layers,750,0.0015510022823119164
174,MNIST,backprop,mlpWide,3layers,4096,0.0005,98,712650,SGD,1.0,0.98461914,2,7.479522771835327,kaiming_normal,mlpWide_3layers,750,0.024355434064691185
175,MNIST,backprop,mlpWide,3layers,4096,0.0005,98,712650,SGDM,0.99998254,0.9852295,3,7.296943964958191,kaiming_normal,mlpWide_3layers,750,0.018277898898429904
176,MNIST,backprop,mlpWide,3layers,4096,0.0005,98,712650,SGDM,1.0,0.9840088,2,7.498362412452698,kaiming_normal,mlpWide_3layers,750,0.02434033675952704
177,MNIST,backprop,mlpWide,3layers,4096,0.005,98,712650,SGDM,0.99998254,0.98583984,44,7.443010492324829,kaiming_normal,mlpWide_3layers,750,0.0016257086113158237
178,MNIST,backprop,mlpWide,3layers,4096,0.005,98,712650,SGD,0.9883161,0.9708252,49,7.618591299057007,kaiming_normal,mlpWide_3layers,750,0.0014408537181355608
179,MNIST,backprop,mlpWide,3layers,4096,0.005,98,712650,SGD,0.99998254,0.9852295,4,7.296320066452027,kaiming_normal,mlpWide_3layers,750,0.014622319118743923
180,MNIST,backprop,mlpWide,4layers,4096,0.005,98,2037450,Adam,0.99996513,0.9855957,46,7.445018615722656,orthogonal_,mlpWide_4layers,750,0.0014435430233924918
181,MNIST,backprop,mlpWide,4layers,4096,0.005,98,2037450,Adam,0.9995989,0.9782715,41,7.408051781654358,orthogonal_,mlpWide_4layers,750,0.0016033890044271674
182,MNIST,backprop,mlpWide,4layers,4096,0.005,98,712650,SGDM,1.0,0.9840088,22,7.430582914352417,kaiming_normal,mlpWide_4layers,750,0.0031748265338513524
183,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.99762833,0.96398926,7,7.916044855117798,kaiming_uniform,mlp_2layers,750,0.011910293021952442
184,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9996338,0.95617676,14,7.446318879127502,kaiming_normal,mlp_2layers,750,0.0063006762225441375
185,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9995466,0.9572754,8,7.552027544975281,kaiming_uniform,mlp_2layers,750,0.01051319275459492
186,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9976109,0.96313477,4,8.251046409606934,kaiming_uniform,mlp_2layers,750,0.019039576985047775
187,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9976632,0.9630127,1,9.165647230148316,kaiming_uniform,mlp_2layers,750,0.04759290965902082
188,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.9995989,0.9560547,21,7.665896420478821,kaiming_normal,mlp_2layers,750,0.004295367214517359
189,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9995466,0.9571533,9,7.497584986686706,kaiming_uniform,mlp_2layers,750,0.009460666621890584
190,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9996163,0.954834,0,7.515821332931519,kaiming_normal,mlp_2layers,750,0.09437742264740949
191,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9995466,0.9571533,9,7.484523711204528,kaiming_uniform,mlp_2layers,750,0.009460666621890584
201,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,Adam,0.9969657,0.96655273,1,7.738884162902832,kaiming_uniform,mlp_2layers,750,0.04776786096338079
