,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,AvgGenError,ModelType,ID,Efficiency
50,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,Adam,0.98081464,0.5272217,8,23.975978355407715,orthogonal_,0.34448323720000007,kan_4layers,9000,0.003356277996679697
51,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGDM,0.7802124,0.5161133,9,24.021582522392272,kaiming_normal,0.1470336882,kan_4layers,9000,0.002957006021044605
52,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGDM,0.80637616,0.52075195,21,23.83436875343323,kaiming_uniform,0.14336873560000002,kan_4layers,9000,0.0013561739003825845
53,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGDM,0.8299357,0.51672363,9,23.91812273979187,orthogonal_,0.1556860344,kan_4layers,9000,0.002960502829758553
54,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGD,0.995341,0.5284424,39,24.010845823287966,kaiming_normal,0.46948730099999997,kan_4layers,9000,0.0007569110109036435
55,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGD,0.99527997,0.53308105,46,23.826992597579956,kaiming_uniform,0.46306762399999996,kan_4layers,9000,0.0006498341709386498
56,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGD,0.9948527,0.5197754,48,23.981727242469788,orthogonal_,0.47635701259999996,kan_4layers,9000,0.0006077525634394177
57,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,Adam,0.70751953,0.5612793,9,28.765490794181822,kaiming_normal,0.14312866279999997,mlpWide_2layers,9000,0.0035342972840630626
58,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,Adam,0.73030597,0.54992676,3,28.555651044845582,kaiming_uniform,0.17895629400000004,mlpWide_2layers,9000,0.008657029816980598
59,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,Adam,0.6168213,0.55236816,49,21.26130915641785,orthogonal_,0.0593322772,mlpWide_2layers,9000,0.000695637016255868
60,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGDM,0.6769206,0.5498047,45,28.661925711631774,kaiming_normal,0.1268904602,mlpWide_2layers,9000,0.0007526181156601059
61,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGDM,0.7026774,0.5415039,46,28.883353958129884,kaiming_uniform,0.15998535120000001,mlpWide_2layers,9000,0.0007254839052991356
62,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGDM,0.58288574,0.53125,27,26.998330483436586,orthogonal_,0.0495638022,mlpWide_2layers,9000,0.0011947167786153254
63,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGD,0.71067303,0.55566406,46,29.033534383773805,kaiming_normal,0.1539998356,mlpWide_2layers,9000,0.0007444550857033037
64,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGD,0.73579913,0.5428467,3,28.85069739341736,kaiming_uniform,0.19105550019999998,mlpWide_2layers,9000,0.00854557444694912
65,CIFAR,backprop,mlpWide,2layers,2048,0.0005,98,7897610,SGD,0.622111,0.553833,43,21.530993580818176,orthogonal_,0.06803019040000001,mlpWide_2layers,9000,0.0007925929486299092
66,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,Adam,0.6362915,0.5394287,16,32.400862975120546,kaiming_normal,0.09958048039999999,mlpWide_2layers,9000,0.001998063006249
67,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,Adam,0.6652832,0.5311279,5,28.58579351425171,kaiming_uniform,0.1269002238,mlpWide_2layers,9000,0.005574063555821252
68,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,Adam,0.54762775,0.5136719,47,29.01358527183533,orthogonal_,0.020615635799999997,mlpWide_2layers,9000,0.0006738583628913717
69,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGDM,0.69403076,0.56103516,10,33.36507672309875,kaiming_normal,0.13264891860000003,mlpWide_2layers,9000,0.003211599971467593
70,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGDM,0.733785,0.5510254,32,28.58594684123993,kaiming_uniform,0.18227742919999998,mlpWide_2layers,9000,0.0010514333058424354
71,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGDM,0.6489461,0.54089355,48,28.824592308998106,orthogonal_,0.05890664960000001,mlpWide_2layers,9000,0.0006950879727110534
72,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGD,0.670695,0.54504395,46,28.905915141105652,kaiming_normal,0.122616778,mlpWide_2layers,9000,0.0007302267137977526
73,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGD,0.6968994,0.5383301,47,28.84723750591278,kaiming_uniform,0.1538887504,mlpWide_2layers,9000,0.0007062061208353981
74,CIFAR,backprop,mlpWide,2layers,2048,0.005,98,7897610,SGD,0.5789998,0.52856445,49,28.728733615875242,orthogonal_,0.04867512499999999,mlpWide_2layers,9000,0.0006656592894436998
75,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,Adam,0.7173665,0.5579834,28,28.968630862236022,kaiming_normal,0.1577848294,mlpWide_3layers,9000,0.001211566711219612
76,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,Adam,0.73042804,0.5465088,2,21.681992774009704,kaiming_uniform,0.1835253894,mlpWide_3layers,9000,0.011470965035034331
77,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,Adam,0.65708417,0.5592041,23,21.292607140541076,orthogonal_,0.09251342840000001,mlpWide_3layers,9000,0.0014671791832418437
78,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGDM,0.68619794,0.5496826,40,28.662523956298827,kaiming_normal,0.1333931458,mlpWide_3layers,9000,0.000844213289123494
79,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGDM,0.70965576,0.5435791,48,25.02517478466034,kaiming_uniform,0.16279296839999996,mlpWide_3layers,9000,0.0006985391018752193
80,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGDM,0.63171387,0.5546875,11,21.450571875572205,orthogonal_,0.07572590839999999,mlpWide_3layers,9000,0.002910658034175573
81,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGD,0.72288007,0.5515137,2,28.969179039001464,kaiming_normal,0.1703588884,mlpWide_3layers,9000,0.011576015553715535
82,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGD,0.7363078,0.5406494,11,21.647601428031923,kaiming_uniform,0.19380818560000002,mlpWide_3layers,9000,0.0028369947398890418
83,CIFAR,backprop,mlpWide,3layers,2048,0.0005,98,7897610,SGD,0.66086835,0.5583496,38,21.276022381782532,orthogonal_,0.1021215842,mlpWide_3layers,9000,0.0009014998391644457
