,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
93,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGD,0.9969308,0.9482422,0,8.499507641792297,kaiming_normal,kan_4layers,750,0.06812866914748154
94,MNIST,backprop,kan,4layers,4096,0.0005,98,1109120,SGD,0.9995292,0.9547119,3,9.728989267349244,kaiming_uniform,kan_4layers,750,0.01714837495269233
98,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,Adam,0.9948905,0.95129395,26,8.437650170326233,kaiming_normal,kan_4layers,750,0.0025314047864154776
99,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,Adam,0.9964076,0.9543457,14,8.605413484573365,kaiming_uniform,kan_4layers,750,0.00457114595459695
100,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGDM,0.9651925,0.94421387,47,8.533273491859436,kaiming_normal,kan_4layers,750,0.0014133175916117287
101,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGDM,0.9536656,0.94091797,10,8.837048988342286,kaiming_uniform,kan_4layers,750,0.0061456766169358575
102,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGD,0.99553573,0.9501953,38,8.768119101524354,kaiming_normal,kan_4layers,750,0.001750487029882211
103,MNIST,backprop,kan,4layers,4096,0.005,98,1109120,SGD,0.99541366,0.95458984,2,8.625592517852784,kaiming_uniform,kan_4layers,750,0.022861576708604385
107,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,Adam,0.95647323,0.9387207,20,8.510626091957093,kaiming_normal,kan_4layers,750,0.003211646419337665
108,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,Adam,0.9574498,0.93969727,41,8.570662851333617,kaiming_uniform,kan_4layers,750,0.0016074937798095212
109,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGDM,0.9825265,0.96765137,48,8.456845922470093,kaiming_normal,kan_4layers,750,0.0014188401258501612
110,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGDM,0.97950965,0.96850586,48,8.817011651992798,kaiming_uniform,kan_4layers,750,0.0014200930406257975
111,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGD,0.9644427,0.94421387,34,8.40007809638977,kaiming_normal,kan_4layers,750,0.0019382641256389425
112,MNIST,backprop,kan,4layers,4096,0.05,98,1109120,SGD,0.95241004,0.9407959,12,8.570006098747253,kaiming_uniform,kan_4layers,750,0.005199513260220383
116,MNIST,backprop,mlpWide,2layers,4096,0.005,98,255050,Adam,0.99996513,0.9838867,47,8.904191551208497,kaiming_normal,mlpWide_2layers,750,0.0016468896454278755
117,MNIST,backprop,mlpWide,2layers,4096,0.005,98,255050,SGDM,0.9754464,0.96520996,49,9.490691981315614,kaiming_normal,mlpWide_2layers,750,0.0015510022823119164
118,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.99762833,0.96398926,7,7.916044855117798,kaiming_uniform,mlp_2layers,750,0.011910293021952442
119,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9996338,0.95617676,14,7.446318879127502,kaiming_normal,mlp_2layers,750,0.0063006762225441375
120,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.9995466,0.9572754,8,7.552027544975281,kaiming_uniform,mlp_2layers,750,0.01051319275459492
121,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9976109,0.96313477,4,8.251046409606934,kaiming_uniform,mlp_2layers,750,0.019039576985047775
122,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.9976632,0.9630127,1,9.165647230148316,kaiming_uniform,mlp_2layers,750,0.04759290965902082
123,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.9995989,0.9560547,21,7.665896420478821,kaiming_normal,mlp_2layers,750,0.004295367214517359
124,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.9995466,0.9571533,9,7.497584986686706,kaiming_uniform,mlp_2layers,750,0.009460666621890584
125,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9996163,0.954834,0,7.515821332931519,kaiming_normal,mlp_2layers,750,0.09437742264740949
126,MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9995466,0.9571533,9,7.484523711204528,kaiming_uniform,mlp_2layers,750,0.009460666621890584
136,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,Adam,0.9969657,0.96655273,1,7.738884162902832,kaiming_uniform,mlp_2layers,750,0.04776786096338079
137,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,Adam,0.9996338,0.95983887,2,7.664814887046814,kaiming_normal,mlp_2layers,750,0.03162403751416544
138,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,Adam,0.9995466,0.96191406,1,7.504795231819153,kaiming_uniform,mlp_2layers,750,0.0475386139324247
139,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGD,0.99720985,0.963501,2,7.555467929840088,kaiming_uniform,mlp_2layers,750,0.031744694574554914
140,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGDM,0.997297,0.9637451,4,7.778124947547912,kaiming_uniform,mlp_2layers,750,0.019051642196878184
141,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGDM,0.99881417,0.96118164,46,7.465985832214355,kaiming_normal,mlp_2layers,750,0.002021379451524808
142,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGDM,0.9990409,0.96313477,42,7.524070730209351,kaiming_uniform,mlp_2layers,750,0.0022139043005869503
143,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGD,0.9995989,0.9560547,32,7.59085593700409,kaiming_normal,mlp_2layers,750,0.0028635781430115725
144,MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGD,0.9995466,0.95739746,42,7.5084110498428345,kaiming_uniform,mlp_2layers,750,0.002200716265351964
148,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,Adam,0.9897286,0.96606445,33,7.742143812179566,kaiming_uniform,mlp_2layers,750,0.002808454691116842
149,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,Adam,0.9952916,0.9609375,9,7.70819420337677,kaiming_normal,mlp_2layers,750,0.009498070300727149
150,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,Adam,0.99532646,0.9614258,23,7.5286377429962155,kaiming_uniform,mlp_2layers,750,0.003959540308870607
151,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGD,0.9922921,0.9667969,23,7.714469027519226,kaiming_uniform,mlp_2layers,750,0.003981660671100303
152,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGDM,0.9940011,0.96728516,32,7.714621253013611,kaiming_uniform,mlp_2layers,750,0.0028972156532837
